,Unnamed: 0,_id,Function,Time,Error,time_stamp
3632999,3632999,62c1c2e754cda2cc15071786,get_newest_articles_api.py save_to_db,0.175715208,FALSE,2022-07-03 16:25:11:270783
3633000,3633000,62c1c2e754cda2cc15071787,get_newest_articles_api.py db_check_not_empty,0.003583431,FALSE,2022-07-03 16:25:11:278020
3633001,3633001,62c1c2e754cda2cc15071788,get_newest_articles_api.py db_get_newest_entry,0.003696918,FALSE,2022-07-03 16:25:11:284564
3633002,3633002,62c1c2e754cda2cc15071789,get_newest_articles_api.py get,0.14235568,FALSE,2022-07-03 16:25:11:431245
3633003,3633003,62c1c2e754cda2cc1507178a,get_newest_articles_api.py main,4.458017111,FALSE,2022-07-03 16:25:11:495235
3633448,3633448,62c1c4132bbb71168a0f9d39,get_newest_articles_api.py get_keywords,4.134186268,FALSE,2022-07-03 16:30:11:724155
3633449,3633449,62c1c4132bbb71168a0fb02a,get_newest_articles_api.py save_to_db,0.175256491,FALSE,2022-07-03 16:30:11:919191
3633450,3633450,62c1c4132bbb71168a0fb02b,get_newest_articles_api.py db_check_not_empty,0.003534794,FALSE,2022-07-03 16:30:11:926465
3633451,3633451,62c1c4132bbb71168a0fb02c,get_newest_articles_api.py db_get_newest_entry,0.003685236,FALSE,2022-07-03 16:30:11:933294
3633452,3633452,62c1c4132bbb71168a0fb02d,get_newest_articles_api.py get,0.048825741,FALSE,2022-07-03 16:30:11:986685
3633453,3633453,62c1c4142bbb71168a0fb02e,get_newest_articles_api.py main,4.460263252,FALSE,2022-07-03 16:30:12:049768
3633872,3633872,62c1c53eb18b559472e6bba4,get_newest_articles_api.py get_keywords,4.154227257,FALSE,2022-07-03 16:35:10:746149
3633875,3633875,62c1c53eb18b559472e6ce95,get_newest_articles_api.py save_to_db,0.173961163,FALSE,2022-07-03 16:35:10:939889
3633876,3633876,62c1c53eb18b559472e6ce96,get_newest_articles_api.py db_check_not_empty,0.003545284,FALSE,2022-07-03 16:35:10:947151
3633877,3633877,62c1c53eb18b559472e6ce97,get_newest_articles_api.py db_get_newest_entry,0.003881931,FALSE,2022-07-03 16:35:10:954347
3633878,3633878,62c1c53fb18b559472e6ce98,get_newest_articles_api.py get,0.149638176,FALSE,2022-07-03 16:35:11:108433
3633879,3633879,62c1c53fb18b559472e6ce99,get_newest_articles_api.py main,4.580004454,FALSE,2022-07-03 16:35:11:171471
3634240,3634240,62c1c66b963229b011d9ef00,get_newest_articles_api.py get_keywords,4.216277599,FALSE,2022-07-03 16:40:11:434053
3634241,3634241,62c1c66b963229b011da01f1,get_newest_articles_api.py save_to_db,0.397649765,FALSE,2022-07-03 16:40:11:851175
3634242,3634242,62c1c66b963229b011da01f2,get_newest_articles_api.py db_check_not_empty,0.003501654,FALSE,2022-07-03 16:40:11:858218
3634243,3634243,62c1c66b963229b011da01f3,get_newest_articles_api.py db_get_newest_entry,0.007963419,FALSE,2022-07-03 16:40:11:869166
3634244,3634244,62c1c66b963229b011da01f4,get_newest_articles_api.py get,0.045121908,FALSE,2022-07-03 16:40:11:918613
3634245,3634245,62c1c66b963229b011da01f5,get_newest_articles_api.py main,4.763018608,FALSE,2022-07-03 16:40:11:980253
3634644,3634644,62c1c796c2c7c9bbe1ea304c,get_newest_articles_api.py get_keywords,3.555818319,FALSE,2022-07-03 16:45:10:270371
3634647,3634647,62c1c796c2c7c9bbe1ea433d,get_newest_articles_api.py save_to_db,0.174750805,FALSE,2022-07-03 16:45:10:465145
3634648,3634648,62c1c796c2c7c9bbe1ea433e,get_newest_articles_api.py db_check_not_empty,0.003583193,FALSE,2022-07-03 16:45:10:472492
3634649,3634649,62c1c796c2c7c9bbe1ea433f,get_newest_articles_api.py db_get_newest_entry,0.00370121,FALSE,2022-07-03 16:45:10:479211
3634650,3634650,62c1c796c2c7c9bbe1ea4340,get_newest_articles_api.py get,0.019102335,FALSE,2022-07-03 16:45:10:502739
3634653,3634653,62c1c796c2c7c9bbe1ea4341,get_newest_articles_api.py main,3.85238862,FALSE,2022-07-03 16:45:10:566477
3635024,3635024,62c1c8c322811d7639417764,get_newest_articles_api.py get_keywords,4.155783415,FALSE,2022-07-03 16:50:11:286932
3635025,3635025,62c1c8c322811d7639418a55,get_newest_articles_api.py save_to_db,0.184027433,FALSE,2022-07-03 16:50:11:490813
3635026,3635026,62c1c8c322811d7639418a56,get_newest_articles_api.py db_check_not_empty,0.003580809,FALSE,2022-07-03 16:50:11:498361
3635027,3635027,62c1c8c322811d7639418a57,get_newest_articles_api.py db_get_newest_entry,0.004207373,FALSE,2022-07-03 16:50:11:506135
3635028,3635028,62c1c8c322811d7639418a58,get_newest_articles_api.py get,0.051997662,FALSE,2022-07-03 16:50:11:563155
3635029,3635029,62c1c8c322811d7639418a59,get_newest_articles_api.py main,4.4971838,FALSE,2022-07-03 16:50:11:627869
3635408,3635408,62c1c9f0db2665d28da0aac9,get_newest_articles_api.py get_keywords,4.666223288,FALSE,2022-07-03 16:55:12:230905
3635411,3635411,62c1c9f0db2665d28da0bdba,get_newest_articles_api.py save_to_db,0.176005602,FALSE,2022-07-03 16:55:12:426456
3635412,3635412,62c1c9f0db2665d28da0bdbb,get_newest_articles_api.py db_check_not_empty,0.003473043,FALSE,2022-07-03 16:55:12:433387
3635413,3635413,62c1c9f0db2665d28da0bdbc,get_newest_articles_api.py db_get_newest_entry,0.003648281,FALSE,2022-07-03 16:55:12:439902
3635414,3635414,62c1c9f0db2665d28da0bdbd,get_newest_articles_api.py get,0.020659208,FALSE,2022-07-03 16:55:12:464733
3635415,3635415,62c1c9f0db2665d28da0bdbe,get_newest_articles_api.py main,4.961946011,FALSE,2022-07-03 16:55:12:526248
3635749,3635749,62c1cb1bf430f971143e3c9b,get_newest_articles_api.py get_keywords,4.160819054,FALSE,2022-07-03 17:00:11:931123
3635750,3635750,62c1cb1cf430f971143e4f8c,get_newest_articles_api.py save_to_db,0.181698322,FALSE,2022-07-03 17:00:12:132777
3635751,3635751,62c1cb1cf430f971143e4f8d,get_newest_articles_api.py db_check_not_empty,0.003654957,FALSE,2022-07-03 17:00:12:140180
3635752,3635752,62c1cb1cf430f971143e4f8e,get_newest_articles_api.py db_get_newest_entry,0.004086494,FALSE,2022-07-03 17:00:12:147567
3635753,3635753,62c1cb1cf430f971143e4f8f,get_newest_articles_api.py get,0.141585827,FALSE,2022-07-03 17:00:12:293721
3635754,3635754,62c1cb1cf430f971143e4f90,get_newest_articles_api.py main,4.587329149,FALSE,2022-07-03 17:00:12:357216
3635765,3635765,62c1cb1e68a0ecc8a70d8bbe,get_ge_data.py ga_api,7.685950756,FALSE,2022-07-03 17:00:14:450486
3635768,3635768,62c1cb2468a0ecc8a70d8bbf,get_ge_data.py ga_api,5.760060072,FALSE,2022-07-03 17:00:20:216315
3635771,3635771,62c1cb2a68a0ecc8a70d8bc0,get_ge_data.py ga_api,6.269059658,FALSE,2022-07-03 17:00:26:489512
3635779,3635779,62c1cb3068a0ecc8a70d8bc1,get_ge_data.py ga_api,6.268140554,FALSE,2022-07-03 17:00:32:761421
3635793,3635793,62c1cb3a68a0ecc8a70d8bc2,get_ge_data.py ga_api,9.636726618,FALSE,2022-07-03 17:00:42:401907
3635802,3635802,62c1cb4768a0ecc8a70d8bc3,get_ge_data.py ga_api,12.70606875,FALSE,2022-07-03 17:00:55:111989
3635807,3635807,62c1cb4e68a0ecc8a70d8bc4,get_ge_data.py ga_api,7.828556776,FALSE,2022-07-03 17:01:02:944587
3635818,3635818,62c1cb5468a0ecc8a70d8bc5,get_ge_data.py ga_api,5.703643799,FALSE,2022-07-03 17:01:08:652369
3635835,3635835,62c1cb5c68a0ecc8a70d8bc6,get_ge_data.py ga_api,7.786915541,FALSE,2022-07-03 17:01:16:443437
3635860,3635860,62c1cb6768a0ecc8a70d8bc7,get_ge_data.py ga_api,11.46762228,FALSE,2022-07-03 17:01:27:915317
3635861,3635861,62c1cb6e68a0ecc8a70d8bc8,get_ge_data.py ga_api,6.777122974,FALSE,2022-07-03 17:01:34:696454
3635876,3635876,62c1cb7568a0ecc8a70d8bc9,get_ge_data.py ga_api,6.584537983,FALSE,2022-07-03 17:01:41:285099
3635897,3635897,62c1cb7c68a0ecc8a70d8bca,get_ge_data.py ga_api,7.565742493,FALSE,2022-07-03 17:01:48:854930
3635906,3635906,62c1cb8368a0ecc8a70d8bcb,get_ge_data.py ga_api,6.979708195,FALSE,2022-07-03 17:01:55:838636
3635915,3635915,62c1cb8968a0ecc8a70d8bcc,get_ge_data.py ga_api,5.230412006,FALSE,2022-07-03 17:02:01:073145
3635916,3635916,62c1cb8a68a0ecc8a70da8c9,get_ge_data.py save_to_db,0.226829529,FALSE,2022-07-03 17:02:02:237672
3635917,3635917,62c1cb8a68a0ecc8a70da8ca,get_ge_data.py main,115.507937,FALSE,2022-07-03 17:02:02:272018
3635930,3635930,62c1cb9068a0ecc8a70da8cb,get_ge_data.py ga_api,6.179372311,FALSE,2022-07-03 17:02:08:455558
3635931,3635931,62c1cb9068a0ecc8a70daa2d,get_ge_data.py save_to_db,0.017780304,FALSE,2022-07-03 17:02:08:538763
3635932,3635932,62c1cb9068a0ecc8a70daa2e,get_ge_data.py main,6.269697428,FALSE,2022-07-03 17:02:08:545561
3636129,3636129,62c1cc46c50f6519ab4b671c,get_newest_articles_api.py get_keywords,4.287503481,FALSE,2022-07-03 17:05:10:729011
3636130,3636130,62c1cc46c50f6519ab4b7a0d,get_newest_articles_api.py save_to_db,0.183872223,FALSE,2022-07-03 17:05:10:933187
3636131,3636131,62c1cc46c50f6519ab4b7a0e,get_newest_articles_api.py db_check_not_empty,0.00356698,FALSE,2022-07-03 17:05:10:940813
3636132,3636132,62c1cc46c50f6519ab4b7a0f,get_newest_articles_api.py db_get_newest_entry,0.003780127,FALSE,2022-07-03 17:05:10:948313
3636133,3636133,62c1cc47c50f6519ab4b7a10,get_newest_articles_api.py get,0.170418501,FALSE,2022-07-03 17:05:11:123266
3636134,3636134,62c1cc47c50f6519ab4b7a11,get_newest_articles_api.py main,4.745643616,FALSE,2022-07-03 17:05:11:186823
3636435,3636435,62c1cd738b637a564515e222,get_newest_articles_api.py get_keywords,4.289514065,FALSE,2022-07-03 17:10:11:173343
3636436,3636436,62c1cd738b637a564515f513,get_newest_articles_api.py save_to_db,0.174857378,FALSE,2022-07-03 17:10:11:367840
3636437,3636437,62c1cd738b637a564515f514,get_newest_articles_api.py db_check_not_empty,0.003531456,FALSE,2022-07-03 17:10:11:375047
3636438,3636438,62c1cd738b637a564515f515,get_newest_articles_api.py db_get_newest_entry,0.003981113,FALSE,2022-07-03 17:10:11:381978
3636439,3636439,62c1cd738b637a564515f516,get_newest_articles_api.py get,0.021416187,FALSE,2022-07-03 17:10:11:408010
3636440,3636440,62c1cd738b637a564515f517,get_newest_articles_api.py main,4.588037014,FALSE,2022-07-03 17:10:11:471439
3636683,3636683,62c1ce9e8f8062a197e136a9,get_newest_articles_api.py get_keywords,4.246097088,FALSE,2022-07-03 17:15:10:655418
3636690,3636690,62c1ce9e8f8062a197e1499a,get_newest_articles_api.py save_to_db,0.18033576,FALSE,2022-07-03 17:15:10:855894
3636691,3636691,62c1ce9e8f8062a197e1499b,get_newest_articles_api.py db_check_not_empty,0.003555298,FALSE,2022-07-03 17:15:10:863100
3636692,3636692,62c1ce9e8f8062a197e1499c,get_newest_articles_api.py db_get_newest_entry,0.003653526,FALSE,2022-07-03 17:15:10:869744
3636693,3636693,62c1ce9e8f8062a197e1499d,get_newest_articles_api.py get,0.054309845,FALSE,2022-07-03 17:15:10:928371
3636694,3636694,62c1ce9e8f8062a197e1499e,get_newest_articles_api.py main,4.582803726,FALSE,2022-07-03 17:15:10:991699
3636929,3636929,62c1cfccd28616ed648b5bfb,get_newest_articles_api.py get_keywords,5.523649216,FALSE,2022-07-03 17:20:12:687318
3636930,3636930,62c1cfccd28616ed648b6eec,get_newest_articles_api.py save_to_db,0.181886911,FALSE,2022-07-03 17:20:12:889879
3636931,3636931,62c1cfccd28616ed648b6eed,get_newest_articles_api.py db_check_not_empty,0.004256964,FALSE,2022-07-03 17:20:12:898341
3636932,3636932,62c1cfccd28616ed648b6eee,get_newest_articles_api.py db_get_newest_entry,0.004462242,FALSE,2022-07-03 17:20:12:906772
3636933,3636933,62c1cfccd28616ed648b6eef,get_newest_articles_api.py get,0.03034997,FALSE,2022-07-03 17:20:12:941760
3636934,3636934,62c1cfcdd28616ed648b6ef0,get_newest_articles_api.py main,5.841710091,FALSE,2022-07-03 17:20:13:004950
3637147,3637147,62c1d0f69a6deaa186f8a05d,get_newest_articles_api.py get_keywords,3.810834646,FALSE,2022-07-03 17:25:10:612028
3637148,3637148,62c1d0f69a6deaa186f8b34e,get_newest_articles_api.py save_to_db,0.177654266,FALSE,2022-07-03 17:25:10:809531
3637149,3637149,62c1d0f69a6deaa186f8b34f,get_newest_articles_api.py db_check_not_empty,0.003679037,FALSE,2022-07-03 17:25:10:816978
3637150,3637150,62c1d0f69a6deaa186f8b350,get_newest_articles_api.py db_get_newest_entry,0.003745317,FALSE,2022-07-03 17:25:10:824055
3637151,3637151,62c1d0f69a6deaa186f8b351,get_newest_articles_api.py get,0.02124548,FALSE,2022-07-03 17:25:10:849761
3637152,3637152,62c1d0f69a6deaa186f8b352,get_newest_articles_api.py main,4.110635281,FALSE,2022-07-03 17:25:10:911401
3637457,3637457,62c1d2234d1b35da07ce3063,get_newest_articles_api.py get_keywords,4.066000938,FALSE,2022-07-03 17:30:11:070269
3637458,3637458,62c1d2234d1b35da07ce4354,get_newest_articles_api.py save_to_db,0.180729151,FALSE,2022-07-03 17:30:11:270901
3637459,3637459,62c1d2234d1b35da07ce4355,get_newest_articles_api.py db_check_not_empty,0.003670931,FALSE,2022-07-03 17:30:11:278142
3637460,3637460,62c1d2234d1b35da07ce4356,get_newest_articles_api.py db_get_newest_entry,0.003957272,FALSE,2022-07-03 17:30:11:285403
3637461,3637461,62c1d2234d1b35da07ce4357,get_newest_articles_api.py get,0.145423651,FALSE,2022-07-03 17:30:11:435487
3637462,3637462,62c1d2234d1b35da07ce4358,get_newest_articles_api.py main,4.4953866,FALSE,2022-07-03 17:30:11:499331
3637803,3637803,62c1d34e6ca67b26ab7d149b,get_newest_articles_api.py get_keywords,3.736916065,FALSE,2022-07-03 17:35:10:484532
3637804,3637804,62c1d34e6ca67b26ab7d278c,get_newest_articles_api.py save_to_db,0.183996677,FALSE,2022-07-03 17:35:10:688548
3637805,3637805,62c1d34e6ca67b26ab7d278d,get_newest_articles_api.py db_check_not_empty,0.003633261,FALSE,2022-07-03 17:35:10:695976
3637806,3637806,62c1d34e6ca67b26ab7d278e,get_newest_articles_api.py db_get_newest_entry,0.004052162,FALSE,2022-07-03 17:35:10:703425
3637807,3637807,62c1d34e6ca67b26ab7d278f,get_newest_articles_api.py get,0.019288063,FALSE,2022-07-03 17:35:10:727393
3637808,3637808,62c1d34e6ca67b26ab7d2790,get_newest_articles_api.py main,4.04552865,FALSE,2022-07-03 17:35:10:792745
3638027,3638027,62c1d47bfb3c26b54ebdc282,get_newest_articles_api.py get_keywords,4.645827293,FALSE,2022-07-03 17:40:11:990975
3638028,3638028,62c1d47cfb3c26b54ebdd573,get_newest_articles_api.py save_to_db,0.174429893,FALSE,2022-07-03 17:40:12:184742
3638029,3638029,62c1d47cfb3c26b54ebdd574,get_newest_articles_api.py db_check_not_empty,0.003501654,FALSE,2022-07-03 17:40:12:191805
3638030,3638030,62c1d47cfb3c26b54ebdd575,get_newest_articles_api.py db_get_newest_entry,0.00360918,FALSE,2022-07-03 17:40:12:198333
3638031,3638031,62c1d47cfb3c26b54ebdd576,get_newest_articles_api.py get,0.019556046,FALSE,2022-07-03 17:40:12:222142
3638032,3638032,62c1d47cfb3c26b54ebdd577,get_newest_articles_api.py main,4.939609289,FALSE,2022-07-03 17:40:12:284302
3638173,3638173,62c1d5a67576bfd11e576c29,get_newest_articles_api.py get_keywords,3.912634373,FALSE,2022-07-03 17:45:10:711700
3638174,3638174,62c1d5a67576bfd11e577f1a,get_newest_articles_api.py save_to_db,0.186877489,FALSE,2022-07-03 17:45:10:918782
3638175,3638175,62c1d5a67576bfd11e577f1b,get_newest_articles_api.py db_check_not_empty,0.003699541,FALSE,2022-07-03 17:45:10:926392
3638176,3638176,62c1d5a67576bfd11e577f1c,get_newest_articles_api.py db_get_newest_entry,0.003940582,FALSE,2022-07-03 17:45:10:933680
3638177,3638177,62c1d5a67576bfd11e577f1d,get_newest_articles_api.py get,0.022314072,FALSE,2022-07-03 17:45:10:960938
3638178,3638178,62c1d5a77576bfd11e577f1e,get_newest_articles_api.py main,4.225176573,FALSE,2022-07-03 17:45:11:023788
3638409,3638409,62c1d6d2669cd1c528126904,get_newest_articles_api.py get_keywords,3.986409903,FALSE,2022-07-03 17:50:10:871143
3638418,3638418,62c1d6d3669cd1c528127bf5,get_newest_articles_api.py save_to_db,0.183452606,FALSE,2022-07-03 17:50:11:074682
3638419,3638419,62c1d6d3669cd1c528127bf6,get_newest_articles_api.py db_check_not_empty,0.00348115,FALSE,2022-07-03 17:50:11:081803
3638420,3638420,62c1d6d3669cd1c528127bf7,get_newest_articles_api.py db_get_newest_entry,0.003712177,FALSE,2022-07-03 17:50:11:088671
3638421,3638421,62c1d6d3669cd1c528127bf8,get_newest_articles_api.py get,0.021604061,FALSE,2022-07-03 17:50:11:114797
3638422,3638422,62c1d6d3669cd1c528127bf9,get_newest_articles_api.py main,4.294887304,FALSE,2022-07-03 17:50:11:179222
3638613,3638613,62c1d7feb9c7f9e88999b5e1,get_newest_articles_api.py get_keywords,3.599442959,FALSE,2022-07-03 17:55:10:926183
3638614,3638614,62c1d7ffb9c7f9e88999c8d2,get_newest_articles_api.py save_to_db,0.177889347,FALSE,2022-07-03 17:55:11:124083
3638615,3638615,62c1d7ffb9c7f9e88999c8d3,get_newest_articles_api.py db_check_not_empty,0.003503561,FALSE,2022-07-03 17:55:11:131123
3638616,3638616,62c1d7ffb9c7f9e88999c8d4,get_newest_articles_api.py db_get_newest_entry,0.003778458,FALSE,2022-07-03 17:55:11:138000
3638617,3638617,62c1d7ffb9c7f9e88999c8d5,get_newest_articles_api.py get,0.041397572,FALSE,2022-07-03 17:55:11:183698
3638618,3638618,62c1d7ffb9c7f9e88999c8d6,get_newest_articles_api.py main,3.922458887,FALSE,2022-07-03 17:55:11:248554
3638827,3638827,62c1d92bdb828b12f80b2485,get_newest_articles_api.py get_keywords,4.172126532,FALSE,2022-07-03 18:00:11:040469
3638828,3638828,62c1d92bdb828b12f80b3776,get_newest_articles_api.py save_to_db,0.179028511,FALSE,2022-07-03 18:00:11:239568
3638829,3638829,62c1d92bdb828b12f80b3777,get_newest_articles_api.py db_check_not_empty,0.003550768,FALSE,2022-07-03 18:00:11:246783
3638830,3638830,62c1d92bdb828b12f80b3778,get_newest_articles_api.py db_get_newest_entry,0.00382185,FALSE,2022-07-03 18:00:11:253813
3638831,3638831,62c1d92bdb828b12f80b3779,get_newest_articles_api.py get,0.019209146,FALSE,2022-07-03 18:00:11:277443
3638832,3638832,62c1d92bdb828b12f80b377a,get_newest_articles_api.py main,4.471158981,FALSE,2022-07-03 18:00:11:339236
3638833,3638833,62c1d92cc3211ece8b264bcc,get_ge_data.py ga_api,5.409193277,FALSE,2022-07-03 18:00:12:590057
3638834,3638834,62c1d92cc3211ece8b264ce1,get_ge_data.py save_to_db,0.01101613,FALSE,2022-07-03 18:00:12:669080
3638835,3638835,62c1d92cc3211ece8b264ce2,get_ge_data.py main,5.495022774,FALSE,2022-07-03 18:00:12:675481
3639023,3639023,62c1da57d5d23981d4b9c2ef,get_newest_articles_api.py get_keywords,4.191413641,FALSE,2022-07-03 18:05:11:980996
3639024,3639024,62c1da58d5d23981d4b9d5e0,get_newest_articles_api.py save_to_db,0.181509018,FALSE,2022-07-03 18:05:12:182609
